Unnamed: 0,Streaming Service,Date,Subscription Price
0,Netflix,2011-07-01,7.99
1,Netflix,2011-08-01,7.99
2,Netflix,2011-09-01,7.99
3,Netflix,2011-10-01,7.99
4,Netflix,2011-11-01,7.99
5,Netflix,2011-12-01,7.99
6,Netflix,2012-01-01,7.99
7,Netflix,2012-02-01,7.99
8,Netflix,2012-03-01,7.99
9,Netflix,2012-04-01,7.99
10,Netflix,2012-05-01,7.99
11,Netflix,2012-06-01,7.99
12,Netflix,2012-07-01,7.99
13,Netflix,2012-08-01,7.99
14,Netflix,2012-09-01,7.99
15,Netflix,2012-10-01,7.99
16,Netflix,2012-11-01,7.99
17,Netflix,2012-12-01,7.99
18,Netflix,2013-01-01,7.99
19,Netflix,2013-02-01,7.99
20,Netflix,2013-03-01,7.99
21,Netflix,2013-04-01,7.99
22,Netflix,2013-05-01,7.99
23,Netflix,2013-06-01,7.99
24,Netflix,2013-07-01,7.99
25,Netflix,2013-08-01,7.99
26,Netflix,2013-09-01,7.99
27,Netflix,2013-10-01,7.99
28,Netflix,2013-11-01,7.99
29,Netflix,2013-12-01,7.99
30,Netflix,2014-01-01,7.99
31,Netflix,2014-02-01,7.99
32,Netflix,2014-03-01,7.99
33,Netflix,2014-04-01,7.99
34,Netflix,2014-05-01,7.99
35,Netflix,2014-06-01,7.99
36,Netflix,2014-07-01,7.99
37,Netflix,2014-08-01,7.99
38,Netflix,2014-09-01,7.99
39,Netflix,2014-10-01,7.99
40,Netflix,2014-11-01,7.99
41,Netflix,2014-12-01,7.99
42,Netflix,2015-01-01,7.99
43,Netflix,2015-02-01,7.99
44,Netflix,2015-03-01,7.99
45,Netflix,2015-04-01,7.99
46,Netflix,2015-05-01,7.99
47,Netflix,2015-06-01,7.99
48,Netflix,2015-07-01,7.99
49,Netflix,2015-08-01,7.99
50,Netflix,2015-09-01,7.99
51,Netflix,2015-10-01,7.99
52,Netflix,2015-11-01,7.99
53,Netflix,2015-12-01,7.99
54,Netflix,2016-01-01,7.99
55,Netflix,2016-02-01,7.99
56,Netflix,2016-03-01,7.99
57,Netflix,2016-04-01,7.99
58,Netflix,2016-05-01,7.99
59,Netflix,2016-06-01,7.99
60,Netflix,2016-07-01,7.99
61,Netflix,2016-08-01,7.99
62,Netflix,2016-09-01,7.99
63,Netflix,2016-10-01,7.99
64,Netflix,2016-11-01,7.99
65,Netflix,2016-12-01,7.99
66,Netflix,2017-01-01,7.99
67,Netflix,2017-02-01,7.99
68,Netflix,2017-03-01,7.99
69,Netflix,2017-04-01,7.99
70,Netflix,2017-05-01,7.99
71,Netflix,2017-06-01,7.99
72,Netflix,2017-07-01,7.99
73,Netflix,2017-08-01,7.99
74,Netflix,2017-09-01,7.99
75,Netflix,2017-10-01,7.99
76,Netflix,2017-11-01,7.99
77,Netflix,2017-12-01,7.99
78,Netflix,2018-01-01,7.99
79,Netflix,2018-02-01,7.99
80,Netflix,2018-03-01,7.99
81,Netflix,2018-04-01,7.99
82,Netflix,2018-05-01,7.99
83,Netflix,2018-06-01,7.99
84,Netflix,2018-07-01,7.99
85,Netflix,2018-08-01,7.99
86,Netflix,2018-09-01,7.99
87,Netflix,2018-10-01,7.99
88,Netflix,2018-11-01,7.99
89,Netflix,2018-12-01,7.99
90,Netflix,2019-01-01,8.99
91,Netflix,2019-02-01,8.99
92,Netflix,2019-03-01,8.99
93,Netflix,2019-04-01,8.99
94,Netflix,2019-05-01,8.99
95,Netflix,2019-06-01,8.99
96,Netflix,2019-07-01,8.99
97,Netflix,2019-08-01,8.99
98,Netflix,2019-09-01,8.99
99,Netflix,2019-10-01,8.99
100,Netflix,2019-11-01,8.99
101,Netflix,2019-12-01,8.99
102,Netflix,2020-01-01,8.99
103,Netflix,2020-02-01,8.99
104,Netflix,2020-03-01,8.99
105,Netflix,2020-04-01,8.99
106,Netflix,2020-05-01,8.99
107,Netflix,2020-06-01,8.99
108,Netflix,2020-07-01,8.99
109,Netflix,2020-08-01,8.99
110,Netflix,2020-09-01,8.99
111,Netflix,2020-10-01,8.99
112,Netflix,2020-11-01,8.99
113,Netflix,2020-12-01,8.99
114,Netflix,2021-01-01,8.99
115,Netflix,2021-02-01,8.99
116,Netflix,2021-03-01,8.99
117,Netflix,2021-04-01,8.99
118,Netflix,2021-05-01,8.99
119,Netflix,2021-06-01,8.99
120,Netflix,2021-07-01,8.99
121,Netflix,2021-08-01,8.99
122,Netflix,2021-09-01,8.99
123,Netflix,2021-10-01,8.99
124,Netflix,2021-11-01,8.99
125,Netflix,2021-12-01,8.99
126,Netflix,2022-01-01,9.99
127,Netflix,2022-02-01,9.99
128,Netflix,2022-03-01,9.99
129,Netflix,2022-04-01,9.99
130,Netflix,2022-05-01,9.99
131,Netflix,2022-06-01,9.99
132,Netflix,2022-07-01,9.99
133,Netflix,2022-08-01,9.99
134,Netflix,2022-09-01,9.99
135,Netflix,2022-10-01,9.99
136,Netflix,2022-11-01,9.99
137,Netflix,2022-12-01,9.99
138,Netflix,2023-01-01,9.99
139,Netflix,2023-02-01,9.99
140,Netflix,2023-03-01,9.99
141,Netflix,2023-04-01,9.99
142,Netflix,2023-05-01,9.99
143,Netflix,2023-06-01,9.99
144,Netflix,2023-07-01,9.99
145,Netflix,2023-08-01,9.99
146,Netflix,2023-09-01,9.99
147,Netflix,2023-10-01,15.49
148,Netflix,2023-11-01,15.49
149,Netflix,2023-12-01,15.49
150,Netflix,2024-01-01,15.49
151,Disney+,2019-11-01,6.99
152,Disney+,2019-12-01,6.99
153,Disney+,2020-01-01,6.99
154,Disney+,2020-02-01,6.99
