,Title,Year,Age,Rotten Tomatoes
0,Breaking Bad,2008,18+,100
1,Stranger Things,2016,16+,96
2,Attack on Titan,2013,18+,95
3,Better Call Saul,2015,18+,94
4,Dark,2017,16+,93
5,Avatar: The Last Airbender,2005,7+,93
6,Peaky Blinders,2013,18+,93
7,The Walking Dead,2010,18+,93
8,Black Mirror,2011,18+,92
9,The Queen's Gambit,2020,18+,92
10,Mindhunter,2017,18+,90
11,Community,2009,7+,90
12,Narcos,2015,18+,90
13,Shameless,2011,18+,90
14,Money Heist,2017,18+,90
15,Marvel's Daredevil,2015,18+,90
16,Lucifer,2016,16+,90
17,Supernatural,2005,16+,89
18,The Witcher,2019,18+,89
19,Ozark,2017,18+,89
20,The Crown,2016,18+,89
21,Cobra Kai,2018,16+,89
22,The Blacklist,2013,16+,88
23,The Flash,2014,16+,88
24,Outlander,2014,18+,88
25,Fullmetal Alchemist: Brotherhood,2009,16+,88
26,The Good Place,2016,16+,88
27,House of Cards,2013,18+,88
28,Atypical,2017,16+,88
29,Grey's Anatomy,2005,16+,87
30,Arrested Development,2003,16+,87
31,Lupin,2021,18+,87
32,The Umbrella Academy,2019,16+,87
33,Orange Is the New Black,2013,18+,87
34,The Vampire Diaries,2009,16+,86
35,Demon Slayer: Kimetsu no Yaiba,2019,18+,86
36,The Last Dance,2020,16+,86
37,American Horror Story,2011,18+,86
38,Elite,2018,18+,86
39,BoJack Horseman,2014,18+,86
40,Star Trek: The Next Generation,1987,7+,86
41,Broadchurch,2013,18+,86
42,The IT Crowd,2006,16+,86
43,When They See Us,2019,18+,86
44,"Love, Death & Robots",2019,18+,86
45,Schitt's Creek,2015,16+,86
46,Marvel's Agents of S.H.I.E.L.D.,2013,16+,86
47,Never Have I Ever,2020,16+,86
48,The 100,2014,16+,86
49,American Crime Story,2016,18+,85
50,The Last Kingdom,2015,18+,85
51,The End of the F***ing World,2017,18+,85
52,New Girl,2011,16+,85
53,Penny Dreadful,2014,18+,85
54,One Piece,1999,7+,85
55,Marvel's The Punisher,2017,18+,85
56,Evil,2019,18+,85
57,YOU,2018,18+,85
58,Sense8,2015,18+,84
59,Making a Murderer,2015,16+,84
60,Unbelievable,2019,18+,84
61,Arrow,2012,16+,84
62,Sex Education,2019,18+,84
63,Marvel's Jessica Jones,2015,18+,84
64,Sweet Tooth,2021,16+,84
65,Good Girls,2018,16+,84
66,Death Note,2006,16+,84
67,Gilmore Girls,2000,16+,84
68,The Legend of Korra,2012,7+,83
69,How to Get Away with Murder,2014,16+,83
70,Master of None,2015,18+,83
71,Chappelle's Show,2003,18+,83
72,One-Punch Man,2015,7+,83
73,Downton Abbey,2010,16+,83
74,Gotham,2014,16+,83
75,Pose,2018,18+,83
76,Bodyguard,2018,18+,83
77,Altered Carbon,2018,18+,83
78,Ash vs Evil Dead,2015,18+,83
79,The Sinner,2017,16+,83
80,Our Planet,2019,all,82
81,Narcos: Mexico,2018,18+,82
82,Shadow and Bone,2021,16+,82
83,Castlevania,2017,18+,82
