,Title,Year,Age,Rotten Tomatoes
0,Avatar: The Last Airbender,2005,7+,93
1,Community,2009,7+,90
2,Shameless,2011,18+,90
3,American Horror Story,2011,18+,86
4,Star Trek: The Next Generation,1987,7+,86
5,Penny Dreadful,2014,18+,85
6,Downton Abbey,2010,16+,83
7,Star Trek,1966,7+,82
8,Star Trek: Deep Space Nine,1993,7+,80
9,Dark Matter,2015,18+,78
10,Star Trek: Voyager,1995,7+,78
11,Heartland,2007,7+,77
12,Marco Polo,2014,18+,77
13,Glee,2009,16+,76
14,Star Trek: Enterprise,2001,7+,76
15,Merlin,2008,7+,75
16,Ragnarok,2020,18+,74
17,Frequency,2016,7+,73
18,Pokémon,1997,7+,73
19,Survivor,2000,7+,72
20,The Circle,2020,18+,70
21,Forensic Files,1996,16+,70
22,Rake,2010,16+,69
23,Hyperdrive,2019,7+,67
24,Ninjago: Masters of Spinjitzu,2012,all,67
25,Ancient Aliens,2010,7+,67
26,The Challenge,1998,16+,67
27,The Baker and the Beauty,2020,16+,67
28,Toradora!,2008,16+,66
29,The Baby-Sitters Club,2020,7+,66
30,Eden,2021,7+,65
31,Love Is Blind,2020,18+,65
32,Forged in Fire,2015,7+,65
33,Halston,2021,18+,65
34,Shaun the Sheep,2007,all,65
35,The Universe,2007,16+,65
36,Pawn Stars,2009,7+,65
37,Undercover,2019,18+,64
38,Saint Seiya,1986,7+,64
39,Power Rangers,1993,7+,63
40,Big Time Rush,2009,all,63
41,60 Days In,2016,16+,62
42,Yu-Gi-Oh!,1998,,62
43,Thomas & Friends,1984,all,62
44,Unsolved Mysteries,1987,7+,61
45,America's Next Top Model,2003,7+,61
46,Cold Case Files,1999,18+,60
47,The Game,2006,16+,59
48,Sonic X,2003,16+,57
49,Medal of Honor,2018,16+,55
50,Teen Mom 2,2011,7+,55
51,Intersection,2016,,54
52,One on One,2001,16+,54
53,A Little Thing Called First Love,2019,all,53
54,The Legend of Bruce Lee,2008,,53
55,Fireman Sam,1989,all,52
56,Barney & Friends,1992,all,52
57,The Duchess,2020,18+,52
58,Hangar 1: The UFO Files,2015,7+,52
59,Suits,2018,,51
60,Transformers: Rescue Bots,2012,7+,50
61,Supermarket Sweep,1990,all,50
62,Booba,2014,all,49
63,City of Ghosts,2021,7+,49
64,Molang,2015,all,49
65,Signs,2018,18+,48
66,Hot Date,2017,16+,48
67,Pocoyo,2005,all,48
68,Pac-Man and the Ghostly Adventures,2013,7+,48
69,The Cat in the Hat Knows a Lot About That!,2010,all,47
70,Pop Team Epic,2018,18+,47
71,Detention,2020,,46
72,Afflicted,2018,18+,46
73,Transformers: Robots In Disguise,2015,all,45
74,Brotherhood,2019,16+,45
75,Fearless,2016,,45
76,Horrid Henry,2006,7+,44
77,Some Assembly Required,2014,all,44
78,LEGO City Adventures,2019,7+,44
79,West Coast Customs,2011,,44
80,Exhibit A,2019,18+,44
81,Possessed,2019,,43
82,Hoff the Record,2015,16+,43
83,Westside,2018,16+,42
84,Heidi,2015,all,42
85,A Year In Space,2016,,41
86,Tayo the Little Bus,2010,,40
87,Robot Trains,2017,all,40
88,Pororo the Little Penguin,2003,all,40
89,Chosen,2018,,39
90,Akbar Birbal,2014,,39
91,Тобот,2010,7+,35
92,Miniforce X,2019,,34
93,On the Real,2016,,32
94,High Risk,2011,,31
95,Miniforce,2016,,17
96,Vikings,2013,18+,92
97,How I Met Your Mother,2005,16+,90
98,Line of Duty,2012,18+,87
99,This Is Us,2016,16+,87
100,Prison Break,2005,16+,87
101,Scrubs,2001,16+,87
102,Buffy the Vampire Slayer,1997,16+,86
103,Teen Wolf,2011,16+,85
104,30 Rock,2006,16+,84
105,The Office,2001,16+,84
106,Friday Night Lights,2006,7+,83
107,Mr. Bean,1990,all,82
108,Bones,2005,16+,82
109,Burn Notice,2007,7+,82
110,Cosmos,2014,all,82
111,Cheers,1982,7+,82
112,Peep Show,2003,18+,81
113,Preacher,2016,18+,80
114,Workaholics,2011,16+,79
115,The Fosters,2013,16+,79
116,Angel,1999,7+,79
117,The Terror,2018,18+,78
118,Cruel Summer,2021,16+,77
119,Elfen Lied,2004,18+,77
120,Stargate Atlantis,2004,7+,76
121,Genius,2017,16+,74
122,Cougar Town,2009,7+,73
123,Catch-22,2019,18+,73
124,Roseanne,1988,7+,73
125,The Resident,2018,16+,72
126,Blackadder,1983,7+,71
127,Hell's Kitchen,2005,16+,71
128,Sesame Street,1969,all,71
129,The Hitchhiker's Guide to the Galaxy,1981,7+,70
130,Flashpoint,2008,16+,70
131,Mushi-Shi,2005,16+,70
132,Touch,2012,16+,70
133,Rurouni Kenshin,1996,16+,70
134,Big Sky,2020,16+,70
135,Underground,2016,18+,69
136,Life in Pieces,2015,16+,69
137,The Amazing Race,2001,7+,68
138,Ghost Whisperer,2005,7+,68
139,Darker than Black,2007,16+,68
140,Psycho-Pass,2012,18+,68
141,Descendants of the Sun,2016,16+,67
142,Jane Eyre,2006,7+,67
143,NEXT,2020,16+,66
144,The Pink Panther,1964,all,66
145,NYPD Blue,1993,16+,64
146,Sense and Sensibility,2008,16+,64
147,River Monsters,2009,7+,63
148,Horrible Histories,2009,7+,62
149,Married at First Sight,2014,7+,61
150,Nightwatch,2015,16+,61
151,Perfect Strangers,1986,7+,61
152,The Guardian,2001,7+,60
153,Jeremiah,2002,18+,60
154,Sealab 2021,2000,16+,60
155,Being Erica,2009,16+,60
156,Robin of Sherwood,1984,7+,60
157,Baywatch,1989,7+,60
158,Deadly Women,2005,16+,59
159,BuzzFeed Unsolved - True Crime,2016,,58
160,7th Heaven,1996,7+,58
161,Intruders,2014,18+,58
162,Kenichi: The Mightiest Disciple,2006,16+,58
163,Melrose Place,1992,16+,57
164,Banished,2015,18+,57
165,Storage Wars,2010,7+,57
166,The Electric Company,1971,all,57
167,Princess Tutu,2002,16+,56
168,Paradox,2009,16+,56
169,The Firm,2012,16+,55
170,Match Game,1973,7+,55
171,The Slap,2015,16+,55
172,Buzzfeed Unsolved - Supernatural,2016,,54
173,The Lowe Files,2017,7+,54
174,Top Gear,2010,7+,54
175,Swamp People,2010,7+,54
176,Bring It!,2014,7+,53
177,James May's Man Lab,2010,,53
178,Ruyi's Royal Love in the Palace,2018,,52
179,Little Women: LA,2014,16+,52
180,The Hills,2006,7+,51
181,Yu-Gi-Oh! 5D's,2008,13+,51
182,Worth It,2016,,51
183,The Murder of Laci Peterson,2017,16+,49
184,Caillou,1998,all,49
185,StarTalk with Neil deGrasse Tyson,2015,all,49
186,Astro Boy,1980,all,49
187,Total Wipeout,2009,,49
188,The Gumby Show,1955,all,48
189,The Wall,2016,7+,47
190,Monster Rancher,1999,7+,47
191,Yu-Gi-Oh! Arc-V,2014,7+,47
192,The First 48 Presents: Homicide Squad Atlanta,2019,16+,46
193,Little Women: Atlanta,2016,16+,46
194,Yu-Gi-Oh! Zexal,2011,7+,46
195,LEGO Friends,2012,all,45
196,Kids Behind Bars: Life or Parole,2019,,45
197,Blippi,2014,all,45
198,Special Forces,2012,,43
199,Abandoned,2012,,42
200,The Young Turks,2005,16+,40
201,Murder on the Internet,2017,,40
202,Forensic Factor,2003,18+,40
203,Behind Closed Doors,2011,16+,38
204,New York Goes to Work,2009,,35
205,Missing,2010,,35
206,Videofashion! News,2006,,28
207,WIRED's Autocomplete Interviews,2016,,19
208,Handcrafted,2017,,17
209,Tasty 101,2016,,17
210,Eating Your Feed,2018,,17
211,Mom In Progress,2018,,16
212,10 Essentials,2013,,16
213,Asia's Underworld,2012,,14
214,#ThatsHarassment,2018,,14
215,Luke Gamble's Vet Adventures,2010,,14
