,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
0,The Irishman,2019,18+,98,1,0,0,0
1,Dangal,2016,7+,97,1,0,0,0
2,David Attenborough: A Life on Our Planet,2020,7+,95,1,0,0,0
3,Lagaan: Once Upon a Time in India,2001,7+,94,1,0,0,0
4,Roma,2018,18+,94,1,0,0,0
5,To All the Boys I've Loved Before,2018,13+,94,1,0,0,0
6,The Social Dilemma,2020,13+,93,1,0,0,0
7,Okja,2017,13+,92,1,0,0,0
8,The Ballad of Buster Scruggs,2018,16+,92,1,0,0,0
9,The Trial of the Chicago 7,2020,18+,92,1,0,0,0
10,Article 15,2019,18+,92,1,0,0,0
11,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92,1,0,0,0
12,Dolemite Is My Name,2019,18+,92,1,0,0,0
13,Mudbound,2017,18+,91,1,0,0,0
14,Swades,2004,all,91,1,0,0,0
15,Fyre,2019,18+,91,1,0,0,0
16,Miss Americana,2020,18+,90,1,0,0,0
17,Virunga,2014,16+,90,1,0,0,0
18,Black Friday,2004,18+,90,1,0,0,0
19,Talvar,2015,7+,90,1,0,0,0
20,The King,2019,18+,90,1,0,0,0
21,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89,1,0,0,0
22,I Am Mother,2019,13+,89,1,0,0,0
23,Tell Me Who I Am,2019,18+,89,1,0,0,0
24,The Departed,2006,18+,89,1,0,0,0
25,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89,1,0,0,0
26,Terminator 2: Judgment Day,1991,18+,89,1,0,0,0
27,I Lost My Body,2019,18+,89,1,0,0,0
28,Django Unchained,2012,18+,89,1,0,0,0
29,The Half of It,2020,13+,89,1,0,0,0
30,The Boy Who Harnessed the Wind,2019,7+,89,1,0,0,0
31,The Devil All the Time,2020,18+,89,1,0,0,0
32,The Fundamentals of Caring,2016,18+,89,1,0,0,0
33,Pieces of a Woman,2020,18+,88,1,0,0,0
34,Gerald's Game,2017,18+,88,1,0,0,0
35,On Body and Soul,2017,,88,1,0,0,0
36,Shutter Island,2010,18+,88,1,0,0,0
37,Always Be My Maybe,2019,13+,88,1,0,0,0
38,The Intouchables,2011,7+,88,1,0,0,0
39,Bill Burr: Paper Tiger,2019,18+,87,1,0,0,0
40,Special 26,2013,,87,1,0,0,0
41,Kiss the Ground,2020,18+,87,1,0,0,0
42,Crip Camp: A Disability Revolution,2020,18+,87,1,0,0,0
43,Extraction,2020,18+,87,1,0,0,0
44,No Direction Home: Bob Dylan,2005,all,87,1,0,0,0
45,Kabhi Khushi Kabhie Gham,2001,all,87,1,0,0,0
46,His House,2020,16+,87,1,0,0,0
47,Super Deluxe,2019,18+,87,1,0,0,0
48,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87,1,0,0,0
49,A Secret Love,2020,18+,87,1,0,0,0
50,The Night Comes for Us,2018,18+,87,1,0,0,0
51,The Big Lebowski,1998,18+,87,1,0,0,0
52,Pad Man,2018,13+,87,1,0,0,0
53,American Factory,2019,13+,86,1,0,0,0
54,Bird Box,2018,18+,86,1,0,0,0
55,The Pianist,2002,18+,86,1,0,0,0
56,3 Idiots,2009,13+,86,1,0,0,0
57,The Distinguished Citizen,2016,,86,1,0,0,0
58,A Shaun the Sheep Movie: Farmageddon,2019,all,86,1,0,0,0
59,A Clockwork Orange,1971,18+,86,1,0,0,0
60,What Happened to Monday,2017,18+,86,1,0,0,0
61,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86,1,0,0,0
62,The White Helmets,2016,16+,86,1,0,0,0
63,Invader ZIM: Enter the Florpus,2019,7+,86,1,0,0,0
64,Happy as Lazzaro,2018,13+,85,1,0,0,0
65,Chasing Coral,2017,,85,1,0,0,0
66,Kal Ho Naa Ho,2003,all,85,1,0,0,0
67,Pan's Labyrinth,2006,18+,85,1,0,0,0
68,Team Foxcatcher,2016,16+,85,1,0,0,0
69,The Meyerowitz Stories (New and Selected),2017,18+,85,1,0,0,0
70,Casino Royale,2006,13+,85,1,0,0,0
71,The Hateful Eight,2015,18+,85,1,0,0,0
72,Rush,2013,18+,84,1,0,0,0
73,Zombieland,2009,18+,84,1,0,0,0
74,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84,1,0,0,0
75,Kapoor & Sons,2016,13+,84,1,0,0,0
76,The Perfection,2018,18+,84,1,0,0,0
77,Dave Chappelle: Sticks & Stones,2019,18+,84,1,0,0,0
78,There Will Be Blood,2007,18+,84,1,0,0,0
79,Million Dollar Baby,2004,13+,84,1,0,0,0
80,The Social Network,2010,13+,84,1,1,0,0
81,The Christmas Chronicles,2018,7+,84,1,0,0,0
82,Monty Python and the Holy Grail,1975,7+,84,1,0,0,0
83,The Pixar Story,2007,all,84,1,0,0,0
84,Ma Rainey's Black Bottom,2020,18+,84,1,0,0,0
85,Calibre,2018,18+,84,1,0,0,0
86,Silver Linings Playbook,2012,18+,84,1,0,0,0
87,Over the Moon,2020,7+,84,1,0,0,0
88,"What Happened, Miss Simone?",2015,,84,1,0,0,0
89,Nightcrawler,2014,18+,84,1,0,0,0
90,1922,2017,18+,84,1,0,0,0
91,Paddleton,2019,18+,84,1,0,0,0
92,Cargo,2017,,84,1,0,0,0
93,Rain Man,1988,18+,83,1,0,0,0
94,Cuba and the Cameraman,2017,,83,1,0,0,0
95,The Ritual,2017,18+,83,1,0,0,0
96,The Hater,2020,18+,83,1,0,0,0
97,The Edge of Democracy,2019,16+,83,1,0,0,0
98,22-Jul,2018,18+,83,1,0,0,0
99,Adam Sandler: 100% Fresh,2018,18+,83,1,0,0,0
100,Guru,2007,13+,83,1,0,0,0
101,A Twelve-Year Night,2018,18+,83,1,0,0,0
102,Dumplin',2018,13+,83,1,0,0,0
103,The Conjuring,2013,18+,83,1,0,0,0
104,Marriage Story,2019,18+,83,1,0,0,0
105,My Octopus Teacher,2020,all,83,1,0,0,0
106,About Time,2013,13+,83,1,0,0,0
107,Hey Arnold! The Jungle Movie,2017,7+,83,1,1,0,0
108,Kung Fu Panda,2008,7+,83,1,0,0,0
109,Superbad,2007,18+,83,1,0,0,0
110,The Invisible Guest,2016,18+,83,1,0,0,0
111,Chinatown,1974,18+,82,1,0,0,0
112,Mystic River,2003,18+,82,1,0,0,0
113,The Theory of Everything,2014,13+,82,1,0,0,0
114,Springsteen On Broadway,2018,,82,1,0,0,0
115,The Life Ahead,2020,13+,82,1,0,0,0
116,The Terminal,2004,13+,82,1,0,1,0
117,Scott Pilgrim vs. the World,2010,13+,82,1,0,0,0
118,Being Elmo: A Puppeteer's Journey,2011,7+,82,1,0,0,0
119,Life of Brian,1979,18+,82,1,0,0,0
120,The Resistance Banker,2018,18+,82,1,0,0,0
121,How to Train Your Dragon 2,2014,7+,82,1,0,0,0
122,The Endless Trench,2019,,82,1,0,0,0
123,Even the Rain,2010,,82,1,0,0,0
124,Love Actually,2003,18+,82,1,0,0,0
125,Dear Ex,2018,18+,82,1,0,0,0
126,Braven,2018,18+,82,1,0,0,0
127,Period. End of Sentence.,2018,,82,1,0,0,0
128,Captain Fantastic,2016,18+,82,1,0,0,0
129,Veronica,2017,18+,81,1,0,0,0
130,The Siege of Jadotville,2016,,81,1,0,0,0
131,Into the Inferno,2016,,81,1,0,0,0
132,Ricky Gervais: Humanity,2018,18+,81,1,0,0,0
133,A Whisker Away,2020,7+,81,1,0,0,0
134,Lady Bird,2017,18+,81,1,0,0,0
135,Road to Perdition,2002,18+,81,1,0,0,0
136,Boogie Nights,1997,18+,81,1,0,0,0
137,Total Recall,1990,16+,81,1,0,0,0
138,Bo Burnham: Inside,2021,18+,81,1,0,0,0
139,Snowpiercer,2013,18+,81,1,0,0,0
140,Circus of Books,2019,,81,1,0,0,0
141,Tallulah,2016,,81,1,0,0,0
142,The Conjuring 2,2016,18+,81,1,0,0,0
143,They'll Love Me When I'm Dead,2018,18+,81,1,0,0,0
144,Nocturnal Animals,2016,18+,81,1,0,0,0
145,Get Me Roger Stone,2017,16+,81,1,0,0,0
146,Hachi: A Dog's Tale,2009,all,81,1,0,0,0
147,Dances with Wolves,1990,13+,80,1,0,0,0
148,Udta Punjab,2016,18+,80,1,0,0,0
149,Bareilly's Barfi,2017,,80,1,0,0,0
150,Divines,2016,,80,1,0,0,0
151,Maktub,2017,7+,80,1,0,0,0
