,Streaming Service,Date,Subscription Price
0,Netflix,7/2011,7.99
1,Netflix,8/2011,7.99
2,Netflix,9/2011,7.99
3,Netflix,10/2011,7.99
4,Netflix,11/2011,7.99
5,Netflix,12/2011,7.99
6,Netflix,1/2012,7.99
7,Netflix,2/2012,7.99
8,Netflix,3/2012,7.99
9,Netflix,4/2012,7.99
10,Netflix,5/2012,7.99
11,Netflix,6/2012,7.99
12,Netflix,7/2012,7.99
13,Netflix,8/2012,7.99
14,Netflix,9/2012,7.99
15,Netflix,10/2012,7.99
16,Netflix,11/2012,7.99
17,Netflix,12/2012,7.99
18,Netflix,1/2013,7.99
19,Netflix,2/2013,7.99
20,Netflix,3/2013,7.99
21,Netflix,4/2013,7.99
22,Netflix,5/2013,7.99
23,Netflix,6/2013,7.99
24,Netflix,7/2013,7.99
25,Netflix,8/2013,7.99
26,Netflix,9/2013,7.99
27,Netflix,10/2013,7.99
28,Netflix,11/2013,7.99
29,Netflix,12/2013,7.99
30,Netflix,1/2014,7.99
31,Netflix,2/2014,7.99
32,Netflix,3/2014,7.99
33,Netflix,4/2014,7.99
34,Netflix,5/2014,7.99
35,Netflix,6/2014,7.99
36,Netflix,7/2014,7.99
37,Netflix,8/2014,7.99
38,Netflix,9/2014,7.99
39,Netflix,10/2014,7.99
40,Netflix,11/2014,7.99
41,Netflix,12/2014,7.99
42,Netflix,1/2015,7.99
43,Netflix,2/2015,7.99
44,Netflix,3/2015,7.99
45,Netflix,4/2015,7.99
46,Netflix,5/2015,7.99
47,Netflix,6/2015,7.99
48,Netflix,7/2015,7.99
49,Netflix,8/2015,7.99
50,Netflix,9/2015,7.99
51,Netflix,10/2015,7.99
52,Netflix,11/2015,7.99
53,Netflix,12/2015,7.99
54,Netflix,1/2016,7.99
55,Netflix,2/2016,7.99
56,Netflix,3/2016,7.99
57,Netflix,4/2016,7.99
58,Netflix,5/2016,7.99
59,Netflix,6/2016,7.99
60,Netflix,7/2016,7.99
61,Netflix,8/2016,7.99
62,Netflix,9/2016,7.99
63,Netflix,10/2016,7.99
64,Netflix,11/2016,7.99
65,Netflix,12/2016,7.99
66,Netflix,1/2017,7.99
67,Netflix,2/2017,7.99
68,Netflix,3/2017,7.99
69,Netflix,4/2017,7.99
70,Netflix,5/2017,7.99
71,Netflix,6/2017,7.99
72,Netflix,7/2017,7.99
73,Netflix,8/2017,7.99
74,Netflix,9/2017,7.99
