,Title,Year,Age,Rotten Tomatoes
0,Beauty and the Beast,2012,7+,69
1,PJ Masks,2015,all,55
2,X-Men,2011,16+,53
3,Gigantosaurus,2019,all,48
4,Inspector Gadget,2015,all,40
5,The Jungle Book,2010,all,39
6,The Simpsons,1989,7+,91
7,Gravity Falls,2012,7+,88
8,Cosmos,2014,all,82
9,Marvel's Runaways,2017,16+,76
10,Genius,2017,16+,74
11,The Rookie,2018,16+,73
12,10 Things I Hate About You,2009,16+,67
13,Star vs. the Forces of Evil,2015,7+,67
14,The Incredible Hulk,1977,7+,66
15,X-Men: Evolution,2000,7+,66
16,Good Luck Charlie,2010,all,65
17,National Treasure,2016,,63
18,While You Were Sleeping,2017,,63
19,K.C. Undercover,2015,all,62
20,The Incredible Dr. Pol,2011,7+,60
21,Life Below Zero,2013,7+,60
22,Running Wild with Bear Grylls,2014,7+,59
23,America's Funniest Home Videos,1989,7+,58
24,My Favorite Martian,1963,all,55
25,Dog with a Blog,2012,all,55
26,A Christmas Carol,2019,18+,54
27,Wander Over Yonder,2013,7+,54
28,Doc McStuffins,2012,all,53
29,Kick Buttowski: Suburban Daredevil,2010,7+,53
30,Handy Manny,2006,all,52
31,Sheriff Callie's Wild West,2013,all,47
32,Miles from Tomorrowland,2015,all,47
33,Wicked Tuna: Outer Banks,2014,16+,45
34,When Sharks Attack,2013,16+,42
35,Pickle & Peanut,2015,7+,41
36,Swiss Family Robinson,1974,7+,41
37,Future-Worm!,2016,7+,37
38,Holiday Magic,2017,,30
39,Invincible,2021,18+,88
40,Loki,2021,16+,95
41,The Mandalorian,2019,16+,94
42,WandaVision,2021,16+,89
43,The Falcon and the Winter Soldier,2021,16+,86
44,Star Wars: The Clone Wars,2008,7+,85
45,Once Upon a Time,2011,7+,83
46,Marvel's Agent Carter,2015,7+,82
47,The Bad Batch,2021,7+,82
48,Star Wars Rebels,2014,7+,79
49,The Owl House,2020,7+,78
50,The Muppet Show,1976,all,78
51,The Mysterious Benedict Society,2021,7+,76
52,Monsters at Work,2021,all,75
53,One Strange Rock,2018,all,74
54,High School Musical: The Musical: The Series,2019,7+,73
55,Dinosaurs,1991,7+,73
56,Boy Meets World,1993,all,72
57,Big Shot,2021,7+,71
58,Disney Gallery / Star Wars: The Mandalorian,2020,7+,71
59,Phineas and Ferb,2007,all,71
60,Bluey,2018,all,71
61,Spider-Man,1994,all,70
62,The Imagineering Story,2019,7+,69
63,DuckTales,1987,7+,69
64,Wizards of Waverly Place,2007,all,68
65,Star Wars: Clone Wars,2003,7+,68
66,Wolverine and the X-Men,2009,7+,68
67,Marvel Studios: Assembled,2021,7+,66
68,Kim Possible,2002,all,66
69,Once Upon a Time in Wonderland,2013,7+,66
70,Marvel Studios: Legends,2021,16+,66
71,Girl Meets World,2014,all,65
72,The Avengers: Earth's Mightiest Heroes,2010,7+,65
