,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
0,Breaking Bad,2008,18+,100,1,0,0,0
1,Stranger Things,2016,16+,96,1,0,0,0
2,Attack on Titan,2013,18+,95,1,1,0,0
3,Better Call Saul,2015,18+,94,1,0,0,0
4,Dark,2017,16+,93,1,0,0,0
5,Avatar: The Last Airbender,2005,7+,93,1,0,1,0
6,Peaky Blinders,2013,18+,93,1,0,0,0
7,The Walking Dead,2010,18+,93,1,0,0,0
8,Black Mirror,2011,18+,92,1,0,0,0
9,The Queen's Gambit,2020,18+,92,1,0,0,0
10,Mindhunter,2017,18+,90,1,0,0,0
11,Community,2009,7+,90,1,1,1,0
12,Narcos,2015,18+,90,1,0,0,0
13,Shameless,2011,18+,90,1,1,1,0
14,Money Heist,2017,18+,90,1,0,0,0
15,Marvel's Daredevil,2015,18+,90,1,0,0,0
16,Lucifer,2016,16+,90,1,0,0,0
17,Supernatural,2005,16+,89,1,0,0,0
18,The Witcher,2019,18+,89,1,0,0,0
19,Ozark,2017,18+,89,1,0,0,0
20,The Crown,2016,18+,89,1,0,0,0
21,Cobra Kai,2018,16+,89,1,0,0,0
22,The Blacklist,2013,16+,88,1,0,0,0
23,The Flash,2014,16+,88,1,0,0,0
24,Outlander,2014,18+,88,1,0,0,0
25,Fullmetal Alchemist: Brotherhood,2009,16+,88,1,1,0,0
26,The Good Place,2016,16+,88,1,0,0,0
27,House of Cards,2013,18+,88,1,0,0,0
28,Atypical,2017,16+,88,1,0,0,0
29,Grey's Anatomy,2005,16+,87,1,1,0,0
30,Arrested Development,2003,16+,87,1,1,0,0
31,Lupin,2021,18+,87,1,0,0,0
32,The Umbrella Academy,2019,16+,87,1,0,0,0
33,Orange Is the New Black,2013,18+,87,1,0,0,0
34,The Vampire Diaries,2009,16+,86,1,0,0,0
35,Demon Slayer: Kimetsu no Yaiba,2019,18+,86,1,1,0,0
36,The Last Dance,2020,16+,86,1,0,0,0
37,American Horror Story,2011,18+,86,1,1,1,0
38,Elite,2018,18+,86,1,0,0,0
39,BoJack Horseman,2014,18+,86,1,0,0,0
40,Star Trek: The Next Generation,1987,7+,86,1,1,1,0
41,Broadchurch,2013,18+,86,1,0,0,0
42,The IT Crowd,2006,16+,86,1,0,0,0
